Číslo	Doplňek	Skupina	Popis	Efekt	Země	Rok	Typ	Mount	Accuracy	AP	Damage	RC	Conceal	Avail	Cost
14	Puškohled PU	Optika	Sovětský odstřelovací puškohled.	+1 Acc.	SU	1940	Prototyp	Top	1	-	-	-	-	6R	250
15	Puškohled No.32	Optika	Britský odstřelovací puškohled.	+2 Acc.	UK	1942	Prototyp	Top	2	-	-	-	-	7R	450
16	Dvojnožka	Podvěs	Sklopná dvojnožka.	+2 RC, když je zbraň v poloze (deployed).	—	1915	Reálná	Under	-	-	-	2	-	2	200
17	Stativ	Podvěs	Těžký stativ pro kulomety.	+6 RC, když je nasazen.	—	1900	Reálná	Under	-	-	-	6	-	4	500
18	Předpažbí	Podvěs	Svislé předpažbí pro kontrolu.	+1 RC.	—	1930	Reálná	Under	-	-	-	1	-	4R	100
19	Podvěsný granátomet	Podvěs	Puškový granátomet (např. Schiessbecher).	Přidá podvěsný granátomet.	DE	1942	Prototyp	Under	-	-	-	-	-	12F	1500
20	Podvěsná brokovnice	Podvěs	Podvěsná brokovnice.	Přidá podvěsnou brokovnici.	—	1930	Prototyp	Under	-	-	-	-	-	10F	800
21	Bajonet	Podvěs	Bodák nasazený na zbraň.	Přidá bodnou zbraň (bajonet).	—	1915	Reálná	Under	-	-	-	-	-	4R	50
22	Dřevěná pažba	Pažba	Standardní dřevěná pažba.	Standardní pažba (bez bonusu).	—	1900	Reálná	Stock	-	-	-	-	-	1	30
23	Sklopná pažba	Pažba	Sklopná ramenní opěrka.	+1 RC a -1 Conceal (lépe skrytá).	—	1930	Reálná	Stock	-	-	-	1	-1	2	30
24	Pistolová rukojeť	Pažba	Odlitá pistolová rukojeť.	+1 RC.	—	1900	Reálná	Stock	-	-	-	1	-	4R	100
25	Odstranění pažby	Pažba	Zbraň bez pažby.	-1 RC, ale -2 Conceal (lépe skrytá).	—	1900	Reálná	Stock	-	-	-	-1	-2	3	20
26	Opěrka ramene	Pažba	Měkká opěrka proti zpětnému rázu.	+1 RC.	—	1930	Reálná	Stock	-	-	-	1	-	2	50
27	Ramenní pažba	Pažba	Zpevněná ramenní pažba.	+1 RC.	—	1900	Reálná	Stock	-	-	-	1	-	4R	150
28	Svítilna	Bočnice	Baterka připevněná ke zbrani.	Osvětluje cíl; ruší postih za tmu v kuželu.	—	1900	Reálná	Side	-	-	-	-	-	2	50
29	Řemen	Bočnice	Nosný řemen.	Umožňuje nosit zbraň přes rameno bez postihu.	—	1900	Reálná	Side	-	-	-	-	-	0	15
30	Lapač nábojnic	Bočnice	Záchyt vystřelených nábojnic.	Zachytí nábojnice: -2 na forenzní sledování.	—	1930	Prototyp	Side	-	-	-	-	-	3R	60
31	Osobitá rukojeť	Rukojeť	Rukojeť upravená na míru střelce.	+1 Acc.	—	1930	Reálná	Internal	1	-	-	-	-	2	100
32	Upravená spoušť	Rukojeť	Vyladěná spoušť.	+1 Acc; jemný chod.	—	1930	Reálná	Internal	1	-	-	-	-	6R	200
33	Drsná rukojeť	Rukojeť	Zdrsněná rukojeť pro pevný úchop.	+1 RC.	—	1900	Reálná	Internal	-	-	-	1	-	3	80
34	Prodloužený zásobník	Zásobník	Delší zásobník pro více nábojů.	+50 % kapacity; +1 Conceal (hůř skrytá).	—	1930	Reálná	Internal	-	-	-	-	+1	6R	100
35	Bubnový zásobník	Zásobník	Bubnový zásobník (SMG/kulomety).	Výrazně +kapacita; +2 Conceal (objemný).	—	1930	Reálná	Internal	-	-	-	-	+2	8R	400
36	Rychlonabíječ	Zásobník	Rychlonabíječ pro revolvery.	Zrychluje nabíjení revolveru (jedna akce).	—	1900	Reálná	Internal	-	-	-	-	-	2	50
37	Nábojové pásky	Zásobník	Stripper clips pro rychlé nabití.	Zrychluje nabíjení pušky (jedna akce).	—	1900	Reálná	Internal	-	-	-	-	-	1	20
38	Náhradní zásobník	Zásobník	Záložní zásobník.	Záložní munice (další zásobník).	—	1900	Reálná	Internal	-	-	-	-	-	2	20
39	Skryté pouzdro	Různé	Pouzdro pro skryté nošení.	-1 Conceal (lépe skrytá zbraň).	—	1900	Reálná	-	-	-	-	-	-1	2	150
40	Rychlotažné pouzdro	Různé	Pouzdro pro rychlé tasení.	Tasení zbraně jako volná akce.	—	1930	Reálná	-	-	-	-	-	-	4R	200
41	Maskovací nátěr	Různé	Maskovací nátěr zbraně.	-1 Conceal (lépe skrytá v terénu).	—	1915	Reálná	-	-	-	-	-	-1	3R	100
42	Zbraňový fotoaparát	Různé	Fotoaparát upevněný na zbrani.	Zaznamenává zásahy; dokumentace.	—	1930	Prototyp	Top	-	-	-	-	-	8F	500
43	Chladicí plášť	Muzzle	Vodní/vzduchový plášť hlavně.	Brání přehřátí hlavně u kulometů (delší palba).	—	1915	Reálná	Barrel	-	-	-	-	-	6R	300
44	Úsťový nástavec pro granáty	Muzzle	Nástavec pro odpalování puškových granátů.	Umožňuje střílet puškové granáty.	—	1915	Reálná	Barrel	-	-	-	-	-	10F	400
45	Zesilovač zvuku	Muzzle	Zesiluje výstřel pro zastrašení.	Zesiluje výstřel: +2 na zastrašení.	—	1930	Reálná	Barrel	-	-	-	-	-	2	50
46	Zesílená hlaveň	Muzzle	Zesílená hlaveň pro těžké použití.	Vyšší odolnost: zbraň se méně poškozuje.	—	1930	Reálná	Barrel	-	-	-	-	-	5R	200
47	Periskop	Optika	Periskop pro střelbu z krytu.	Umožňuje střelbu zpoza krytu bez vystavení se.	—	1915	Reálná	Top	-	-	-	-	-	6R	350
48	Infračervený konvertor	Optika	Experimentální IR konvertor pro noční vidění.	Vidění v temnotě (IR); ruší postihy za tmu.	DE	1938	Setting	Top	-	-	-	-	-	12F	2000
49	Ochranné krytky	Optika	Krytky chránící optiku.	Chrání optiku před poškozením.	—	1900	Reálná	Top	-	-	-	-	-	2	30
50	Zvětšovací nástavec	Optika	Přídavné zvětšení k optice.	+1 Acc.	—	1930	Reálná	Top	1	-	-	-	-	6R	200
51	Podvěsný plamenomet	Podvěs	Malý podvěsný plamenomet.	Přidá podvěsný plamenomet.	—	1930	Prototyp	Under	-	-	-	-	-	14F	2000
52	Podvěsný hák	Podvěs	Vrhací hák pro šplhání.	Umožňuje vystřelit hák s lanem pro šplhání.	—	1930	Reálná	Under	-	-	-	-	-	8R	500
53	Podvěsné závaží	Podvěs	Závaží snižující zdvih.	+1 RC.	—	1930	Reálná	Under	-	-	-	1	-	2	50
54	Lícnice	Pažba	Vyvýšená lícnice pro lepší míření.	+1 Acc.	—	1930	Reálná	Stock	1	-	-	-	-	3R	80
55	Tlumič zpětného rázu	Pažba	Pružinový tlumič rázu v pažbě.	+1 RC.	—	1930	Reálná	Stock	-	-	-	1	-	4R	150
56	Kožený návlek	Pažba	Kožený návlek na pažbu.	+1 RC (pevnější úchop).	—	1900	Reálná	Stock	-	-	-	1	-	2	60
57	Infračervená svítilna	Bočnice	Experimentální IR svítilna.	Osvětluje pro IR vidění (viditelné jen IR přístroji).	DE	1938	Setting	Side	-	-	-	-	-	10F	800
58	Signální zrcátko	Bočnice	Zrcátko pro signalizaci.	Signální komunikace na dálku (zrcadlem).	—	1900	Reálná	Side	-	-	-	-	-	2	20
59	Boční zásobník	Bočnice	Zásobník uchycený na boku.	Umožňuje rychlejší výměnu munice.	—	1930	Reálná	Side	-	-	-	-	-	6R	150
60	Dvojitá spoušť	Rukojeť	Zdvojená spoušť pro přesnou palbu.	+1 Acc.	—	1900	Reálná	Internal	1	-	-	-	-	4R	120
61	Selektivní spoušť	Rukojeť	Mechanismus selektivní palby.	Přidá režim selektivní palby (SA/BF/FA).	—	1930	Prototyp	Internal	-	-	-	-	-	8F	400
62	Rychlopalná spoušť	Rukojeť	Vyladěná rychlopalná spoušť.	+1 Acc; umožňuje rychlejší palbu.	—	1930	Reálná	Internal	1	-	-	-	-	6R	150
63	Pojistka	Rukojeť	Bezpečnostní pojistka.	Brání náhodnému výstřelu.	—	1900	Reálná	Internal	-	-	-	-	-	2	30
64	Pásové podávání	Zásobník	Pásové podávání munice.	Umožňuje pásové podávání (velká kapacita).	—	1915	Reálná	Internal	-	-	-	-	-	8R	300
65	Spojené zásobníky	Zásobník	Spojené zásobníky (jungle style).	Rychlejší výměna munice.	—	1930	Reálná	Internal	-	-	-	-	-	4R	80
66	Rychloupínací zásobník	Zásobník	Zásobník s rychloupínákem.	Zrychluje přebíjení (jedna akce).	—	1930	Reálná	Internal	-	-	-	-	-	5R	120
67	Čistící sada	Různé	Sada pro údržbu zbraně.	+1 na údržbu; snižuje riziko zaseknutí.	—	1900	Reálná	-	-	-	-	-	-	2	50
68	Pušková brašna	Různé	Brašna pro přenos zbraně.	Skrytý přenos zbraně.	—	1900	Reálná	-	-	-	-	-	-	2	80
69	Signální nástavec	Různé	Nástavec pro odpalování signálních nábojů.	Umožňuje odpalovat signální světlice.	—	1915	Reálná	Under	-	-	-	-	-	5R	150
70	Ghillie omotávka	Různé	Maskovací omotávka zbraně.	-2 Conceal (výrazně lepší skrytí v terénu).	—	1915	Reálná	-	-	-	-	-	-2	6R	300
71	Elektroizolační obal	Okultní & teslapunk	Izolační obal proti výbojům.	Chrání zbraň i střelce před elektrickým výbojem (glitch tesla zbraně).	CS	1938	Setting	-	-	-	-	-	-	10F	800
72	Měděná cívka	Okultní & teslapunk	Cívka zesilující tesla zbraně.	Zesiluje tesla zbraně: +1 DMG nebo +1 výboj, ale +riziko poruchy.	CS	1938	Setting	Internal	-	-	-	-	-	14F	2500
