ID	Typ	Číslo	Název	Kategorie	Technické informace	Popis	Země	Rok	Historický status	Role	Poškození	AP	Režim palby	RC	Munice / kapacita	Conceal	Accuracy	Reach	Dostupnost	Cena	Dovednost	Výchozí vybavení	Rating	Kapacita zbroje	ArmorOverride	Handling	Speed	Acceleration	Body	Armor	Sensor	Seats	Pilot	Mount	Efekt / vlastnost	Bonus	Poznámka	Zdrojový soubor	Zdrojový řádek
Doplněk ke zbrani:44:Úsťový nástavec pro granáty	Doplněk ke zbrani	44	Úsťový nástavec pro granáty	Muzzle		Nástavec pro odpalování puškových granátů.	—	1915	Reálná		-	-		-		-	-		10F	400														Barrel	Umožňuje střílet puškové granáty.			docs/accessories/batchAC1_doplnky.tsv	45
Doplněk ke zbrani:45:Zesilovač zvuku	Doplněk ke zbrani	45	Zesilovač zvuku	Muzzle		Zesiluje výstřel pro zastrašení.	—	1930	Reálná		-	-		-		-	-		2	50														Barrel	Zesiluje výstřel: +2 na zastrašení.			docs/accessories/batchAC1_doplnky.tsv	46
Doplněk ke zbrani:46:Zesílená hlaveň	Doplněk ke zbrani	46	Zesílená hlaveň	Muzzle		Zesílená hlaveň pro těžké použití.	—	1930	Reálná		-	-		-		-	-		5R	200														Barrel	Vyšší odolnost: zbraň se méně poškozuje.			docs/accessories/batchAC1_doplnky.tsv	47
Doplněk ke zbrani:5:Dlouhá hlaveň	Doplněk ke zbrani	5	Dlouhá hlaveň	Muzzle		Delší, přesnější hlaveň.	—	1900	Reálná		-	-		-		+1	1		8R	300														Barrel	+1 Acc, ale +1 Conceal (hůř skrytá).			docs/accessories/batchAC1_doplnky.tsv	6
Doplněk ke zbrani:6:Zkrácená hlaveň	Doplněk ke zbrani	6	Zkrácená hlaveň	Muzzle		Zkrácená hlaveň pro skrytí.	—	1900	Reálná		-1	-		-		-1	-		4R	20														Barrel	-1 DMG, -1 Conceal (lépe skrytá).			docs/accessories/batchAC1_doplnky.tsv	7
Doplněk ke zbrani:7:Zátěž hlavně	Doplněk ke zbrani	7	Zátěž hlavně	Muzzle		Přídavná hmota na hlavni.	—	1900	Reálná		-	-		1		-	-		3R	100														Barrel	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	8
Doplněk ke zbrani:8:Bajonetové lůžko	Doplněk ke zbrani	8	Bajonetové lůžko	Muzzle		Úchyt pro nasazení bodáku.	—	1915	Reálná		-	-		-		-	-		2	50														Barrel	Umožňuje nasadit bajonet.			docs/accessories/batchAC1_doplnky.tsv	9
Doplněk ke zbrani:71:Elektroizolační obal	Doplněk ke zbrani	71	Elektroizolační obal	Okultní & teslapunk		Izolační obal proti výbojům.	CS	1938	Setting		-	-		-		-	-		10F	800														-	Chrání zbraň i střelce před elektrickým výbojem (glitch tesla zbraně).			docs/accessories/batchAC1_doplnky.tsv	72
Doplněk ke zbrani:72:Měděná cívka	Doplněk ke zbrani	72	Měděná cívka	Okultní & teslapunk		Cívka zesilující tesla zbraně.	CS	1938	Setting		-	-		-		-	-		14F	2500														Internal	Zesiluje tesla zbraně: +1 DMG nebo +1 výboj, ale +riziko poruchy.			docs/accessories/batchAC1_doplnky.tsv	73
Doplněk ke zbrani:10:Dioptrická mířidla	Doplněk ke zbrani	10	Dioptrická mířidla	Optika		Kruhová (dioptrická) mířidla.	—	1910	Reálná		-	-		-		-	1		4R	100														Top	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	11
Doplněk ke zbrani:11:Puškohled 2×	Doplněk ke zbrani	11	Puškohled 2×	Optika		Malý optický puškohled.	—	1930	Reálná		-	-		-		-	1		5R	150														Top	+1 Acc na střední a delší vzdálenost.			docs/accessories/batchAC1_doplnky.tsv	12
Doplněk ke zbrani:12:Puškohled 4×	Doplněk ke zbrani	12	Puškohled 4×	Optika		Výkonnější optický puškohled.	—	1930	Reálná		-	-		-		-	2		6R	300														Top	+2 Acc na delší vzdálenost.			docs/accessories/batchAC1_doplnky.tsv	13
Doplněk ke zbrani:13:Puškohled ZF39	Doplněk ke zbrani	13	Puškohled ZF39	Optika		Německý vojenský puškohled.	DE	1939	Prototyp		-	-		-		-	2		7R	400														Top	+2 Acc; kvalitní optika.			docs/accessories/batchAC1_doplnky.tsv	14
Doplněk ke zbrani:14:Puškohled PU	Doplněk ke zbrani	14	Puškohled PU	Optika		Sovětský odstřelovací puškohled.	SU	1940	Prototyp		-	-		-		-	1		6R	250														Top	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	15
Doplněk ke zbrani:15:Puškohled No.32	Doplněk ke zbrani	15	Puškohled No.32	Optika		Britský odstřelovací puškohled.	UK	1942	Prototyp		-	-		-		-	2		7R	450														Top	+2 Acc.			docs/accessories/batchAC1_doplnky.tsv	16
Doplněk ke zbrani:47:Periskop	Doplněk ke zbrani	47	Periskop	Optika		Periskop pro střelbu z krytu.	—	1915	Reálná		-	-		-		-	-		6R	350														Top	Umožňuje střelbu zpoza krytu bez vystavení se.			docs/accessories/batchAC1_doplnky.tsv	48
Doplněk ke zbrani:48:Infračervený konvertor	Doplněk ke zbrani	48	Infračervený konvertor	Optika		Experimentální IR konvertor pro noční vidění.	DE	1938	Setting		-	-		-		-	-		12F	2000														Top	Vidění v temnotě (IR); ruší postihy za tmu.			docs/accessories/batchAC1_doplnky.tsv	49
Doplněk ke zbrani:49:Ochranné krytky	Doplněk ke zbrani	49	Ochranné krytky	Optika		Krytky chránící optiku.	—	1900	Reálná		-	-		-		-	-		2	30														Top	Chrání optiku před poškozením.			docs/accessories/batchAC1_doplnky.tsv	50
Doplněk ke zbrani:50:Zvětšovací nástavec	Doplněk ke zbrani	50	Zvětšovací nástavec	Optika		Přídavné zvětšení k optice.	—	1930	Reálná		-	-		-		-	1		6R	200														Top	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	51
Doplněk ke zbrani:9:Mechanická mířidla	Doplněk ke zbrani	9	Mechanická mířidla	Optika		Základní otevřená mířidla.	—	1900	Reálná		-	-		-		-	-		1	20														Top	Základní mířidla (bez bonusu).			docs/accessories/batchAC1_doplnky.tsv	10
Doplněk ke zbrani:22:Dřevěná pažba	Doplněk ke zbrani	22	Dřevěná pažba	Pažba		Standardní dřevěná pažba.	—	1900	Reálná		-	-		-		-	-		1	30														Stock	Standardní pažba (bez bonusu).			docs/accessories/batchAC1_doplnky.tsv	23
Doplněk ke zbrani:23:Sklopná pažba	Doplněk ke zbrani	23	Sklopná pažba	Pažba		Sklopná ramenní opěrka.	—	1930	Reálná		-	-		1		-1	-		2	30														Stock	+1 RC a -1 Conceal (lépe skrytá).			docs/accessories/batchAC1_doplnky.tsv	24
Doplněk ke zbrani:24:Pistolová rukojeť	Doplněk ke zbrani	24	Pistolová rukojeť	Pažba		Odlitá pistolová rukojeť.	—	1900	Reálná		-	-		1		-	-		4R	100														Stock	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	25
Doplněk ke zbrani:25:Odstranění pažby	Doplněk ke zbrani	25	Odstranění pažby	Pažba		Zbraň bez pažby.	—	1900	Reálná		-	-		-1		-2	-		3	20														Stock	-1 RC, ale -2 Conceal (lépe skrytá).			docs/accessories/batchAC1_doplnky.tsv	26
Doplněk ke zbrani:26:Opěrka ramene	Doplněk ke zbrani	26	Opěrka ramene	Pažba		Měkká opěrka proti zpětnému rázu.	—	1930	Reálná		-	-		1		-	-		2	50														Stock	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	27
Doplněk ke zbrani:27:Ramenní pažba	Doplněk ke zbrani	27	Ramenní pažba	Pažba		Zpevněná ramenní pažba.	—	1900	Reálná		-	-		1		-	-		4R	150														Stock	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	28
Doplněk ke zbrani:54:Lícnice	Doplněk ke zbrani	54	Lícnice	Pažba		Vyvýšená lícnice pro lepší míření.	—	1930	Reálná		-	-		-		-	1		3R	80														Stock	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	55
Doplněk ke zbrani:55:Tlumič zpětného rázu	Doplněk ke zbrani	55	Tlumič zpětného rázu	Pažba		Pružinový tlumič rázu v pažbě.	—	1930	Reálná		-	-		1		-	-		4R	150														Stock	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	56
Doplněk ke zbrani:56:Kožený návlek	Doplněk ke zbrani	56	Kožený návlek	Pažba		Kožený návlek na pažbu.	—	1900	Reálná		-	-		1		-	-		2	60														Stock	+1 RC (pevnější úchop).			docs/accessories/batchAC1_doplnky.tsv	57
Doplněk ke zbrani:16:Dvojnožka	Doplněk ke zbrani	16	Dvojnožka	Podvěs		Sklopná dvojnožka.	—	1915	Reálná		-	-		2		-	-		2	200														Under	+2 RC, když je zbraň v poloze (deployed).			docs/accessories/batchAC1_doplnky.tsv	17
Doplněk ke zbrani:17:Stativ	Doplněk ke zbrani	17	Stativ	Podvěs		Těžký stativ pro kulomety.	—	1900	Reálná		-	-		6		-	-		4	500														Under	+6 RC, když je nasazen.			docs/accessories/batchAC1_doplnky.tsv	18
Doplněk ke zbrani:18:Předpažbí	Doplněk ke zbrani	18	Předpažbí	Podvěs		Svislé předpažbí pro kontrolu.	—	1930	Reálná		-	-		1		-	-		4R	100														Under	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	19
Doplněk ke zbrani:19:Podvěsný granátomet	Doplněk ke zbrani	19	Podvěsný granátomet	Podvěs		Puškový granátomet (např. Schiessbecher).	DE	1942	Prototyp		-	-		-		-	-		12F	1500														Under	Přidá podvěsný granátomet.			docs/accessories/batchAC1_doplnky.tsv	20
Doplněk ke zbrani:20:Podvěsná brokovnice	Doplněk ke zbrani	20	Podvěsná brokovnice	Podvěs		Podvěsná brokovnice.	—	1930	Prototyp		-	-		-		-	-		10F	800														Under	Přidá podvěsnou brokovnici.			docs/accessories/batchAC1_doplnky.tsv	21
Doplněk ke zbrani:21:Bajonet	Doplněk ke zbrani	21	Bajonet	Podvěs		Bodák nasazený na zbraň.	—	1915	Reálná		-	-		-		-	-		4R	50														Under	Přidá bodnou zbraň (bajonet).			docs/accessories/batchAC1_doplnky.tsv	22
Doplněk ke zbrani:51:Podvěsný plamenomet	Doplněk ke zbrani	51	Podvěsný plamenomet	Podvěs		Malý podvěsný plamenomet.	—	1930	Prototyp		-	-		-		-	-		14F	2000														Under	Přidá podvěsný plamenomet.			docs/accessories/batchAC1_doplnky.tsv	52
Doplněk ke zbrani:52:Podvěsný hák	Doplněk ke zbrani	52	Podvěsný hák	Podvěs		Vrhací hák pro šplhání.	—	1930	Reálná		-	-		-		-	-		8R	500														Under	Umožňuje vystřelit hák s lanem pro šplhání.			docs/accessories/batchAC1_doplnky.tsv	53
Doplněk ke zbrani:53:Podvěsné závaží	Doplněk ke zbrani	53	Podvěsné závaží	Podvěs		Závaží snižující zdvih.	—	1930	Reálná		-	-		1		-	-		2	50														Under	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	54
Doplněk ke zbrani:31:Osobitá rukojeť	Doplněk ke zbrani	31	Osobitá rukojeť	Rukojeť		Rukojeť upravená na míru střelce.	—	1930	Reálná		-	-		-		-	1		2	100														Internal	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	32
Doplněk ke zbrani:32:Upravená spoušť	Doplněk ke zbrani	32	Upravená spoušť	Rukojeť		Vyladěná spoušť.	—	1930	Reálná		-	-		-		-	1		6R	200														Internal	+1 Acc; jemný chod.			docs/accessories/batchAC1_doplnky.tsv	33
Doplněk ke zbrani:33:Drsná rukojeť	Doplněk ke zbrani	33	Drsná rukojeť	Rukojeť		Zdrsněná rukojeť pro pevný úchop.	—	1900	Reálná		-	-		1		-	-		3	80														Internal	+1 RC.			docs/accessories/batchAC1_doplnky.tsv	34
Doplněk ke zbrani:60:Dvojitá spoušť	Doplněk ke zbrani	60	Dvojitá spoušť	Rukojeť		Zdvojená spoušť pro přesnou palbu.	—	1900	Reálná		-	-		-		-	1		4R	120														Internal	+1 Acc.			docs/accessories/batchAC1_doplnky.tsv	61
Doplněk ke zbrani:61:Selektivní spoušť	Doplněk ke zbrani	61	Selektivní spoušť	Rukojeť		Mechanismus selektivní palby.	—	1930	Prototyp		-	-		-		-	-		8F	400														Internal	Přidá režim selektivní palby (SA/BF/FA).			docs/accessories/batchAC1_doplnky.tsv	62
Doplněk ke zbrani:62:Rychlopalná spoušť	Doplněk ke zbrani	62	Rychlopalná spoušť	Rukojeť		Vyladěná rychlopalná spoušť.	—	1930	Reálná		-	-		-		-	1		6R	150														Internal	+1 Acc; umožňuje rychlejší palbu.			docs/accessories/batchAC1_doplnky.tsv	63
Doplněk ke zbrani:63:Pojistka	Doplněk ke zbrani	63	Pojistka	Rukojeť		Bezpečnostní pojistka.	—	1900	Reálná		-	-		-		-	-		2	30														Internal	Brání náhodnému výstřelu.			docs/accessories/batchAC1_doplnky.tsv	64
Doplněk ke zbrani:39:Skryté pouzdro	Doplněk ke zbrani	39	Skryté pouzdro	Různé		Pouzdro pro skryté nošení.	—	1900	Reálná		-	-		-		-1	-		2	150														-	-1 Conceal (lépe skrytá zbraň).			docs/accessories/batchAC1_doplnky.tsv	40
Doplněk ke zbrani:40:Rychlotažné pouzdro	Doplněk ke zbrani	40	Rychlotažné pouzdro	Různé		Pouzdro pro rychlé tasení.	—	1930	Reálná		-	-		-		-	-		4R	200														-	Tasení zbraně jako volná akce.			docs/accessories/batchAC1_doplnky.tsv	41
Doplněk ke zbrani:41:Maskovací nátěr	Doplněk ke zbrani	41	Maskovací nátěr	Různé		Maskovací nátěr zbraně.	—	1915	Reálná		-	-		-		-1	-		3R	100														-	-1 Conceal (lépe skrytá v terénu).			docs/accessories/batchAC1_doplnky.tsv	42
Doplněk ke zbrani:42:Zbraňový fotoaparát	Doplněk ke zbrani	42	Zbraňový fotoaparát	Různé		Fotoaparát upevněný na zbrani.	—	1930	Prototyp		-	-		-		-	-		8F	500														Top	Zaznamenává zásahy; dokumentace.			docs/accessories/batchAC1_doplnky.tsv	43
Doplněk ke zbrani:67:Čistící sada	Doplněk ke zbrani	67	Čistící sada	Různé		Sada pro údržbu zbraně.	—	1900	Reálná		-	-		-		-	-		2	50														-	+1 na údržbu; snižuje riziko zaseknutí.			docs/accessories/batchAC1_doplnky.tsv	68
Doplněk ke zbrani:68:Pušková brašna	Doplněk ke zbrani	68	Pušková brašna	Různé		Brašna pro přenos zbraně.	—	1900	Reálná		-	-		-		-	-		2	80														-	Skrytý přenos zbraně.			docs/accessories/batchAC1_doplnky.tsv	69
Doplněk ke zbrani:69:Signální nástavec	Doplněk ke zbrani	69	Signální nástavec	Různé		Nástavec pro odpalování signálních nábojů.	—	1915	Reálná		-	-		-		-	-		5R	150														Under	Umožňuje odpalovat signální světlice.			docs/accessories/batchAC1_doplnky.tsv	70
Doplněk ke zbrani:70:Ghillie omotávka	Doplněk ke zbrani	70	Ghillie omotávka	Různé		Maskovací omotávka zbraně.	—	1915	Reálná		-	-		-		-2	-		6R	300														-	-2 Conceal (výrazně lepší skrytí v terénu).			docs/accessories/batchAC1_doplnky.tsv	71
Doplněk ke zbrani:34:Prodloužený zásobník	Doplněk ke zbrani	34	Prodloužený zásobník	Zásobník		Delší zásobník pro více nábojů.	—	1930	Reálná		-	-		-		+1	-		6R	100														Internal	+50 % kapacity; +1 Conceal (hůř skrytá).			docs/accessories/batchAC1_doplnky.tsv	35
Doplněk ke zbrani:35:Bubnový zásobník	Doplněk ke zbrani	35	Bubnový zásobník	Zásobník		Bubnový zásobník (SMG/kulomety).	—	1930	Reálná		-	-		-		+2	-		8R	400														Internal	Výrazně +kapacita; +2 Conceal (objemný).			docs/accessories/batchAC1_doplnky.tsv	36
Doplněk ke zbrani:36:Rychlonabíječ	Doplněk ke zbrani	36	Rychlonabíječ	Zásobník		Rychlonabíječ pro revolvery.	—	1900	Reálná		-	-		-		-	-		2	50														Internal	Zrychluje nabíjení revolveru (jedna akce).			docs/accessories/batchAC1_doplnky.tsv	37
Doplněk ke zbrani:37:Nábojové pásky	Doplněk ke zbrani	37	Nábojové pásky	Zásobník		Stripper clips pro rychlé nabití.	—	1900	Reálná		-	-		-		-	-		1	20														Internal	Zrychluje nabíjení pušky (jedna akce).			docs/accessories/batchAC1_doplnky.tsv	38
Doplněk ke zbrani:38:Náhradní zásobník	Doplněk ke zbrani	38	Náhradní zásobník	Zásobník		Záložní zásobník.	—	1900	Reálná		-	-		-		-	-		2	20														Internal	Záložní munice (další zásobník).			docs/accessories/batchAC1_doplnky.tsv	39
Doplněk ke zbrani:64:Pásové podávání	Doplněk ke zbrani	64	Pásové podávání	Zásobník		Pásové podávání munice.	—	1915	Reálná		-	-		-		-	-		8R	300														Internal	Umožňuje pásové podávání (velká kapacita).			docs/accessories/batchAC1_doplnky.tsv	65
Doplněk ke zbrani:65:Spojené zásobníky	Doplněk ke zbrani	65	Spojené zásobníky	Zásobník		Spojené zásobníky (jungle style).	—	1930	Reálná		-	-		-		-	-		4R	80														Internal	Rychlejší výměna munice.			docs/accessories/batchAC1_doplnky.tsv	66
Doplněk ke zbrani:66:Rychloupínací zásobník	Doplněk ke zbrani	66	Rychloupínací zásobník	Zásobník		Zásobník s rychloupínákem.	—	1930	Reálná		-	-		-		-	-		5R	120														Internal	Zrychluje přebíjení (jedna akce).			docs/accessories/batchAC1_doplnky.tsv	67
Kvalita:15:Zákopový šok	Kvalita	15	Zákopový šok	Negative		Trauma z 1. světové války.																													skillcategory	skillcategory: Combat Active: -2: pod palbou	-	docs/qualities/batchQ1_kvality.tsv	19
Kvalita:16:Předsudek	Kvalita	16	Předsudek	Negative		Předsudek vůči metatypu.																													skillcategory	skillcategory: Social Active: -2: s vybraným metatypem	-	docs/qualities/batchQ1_kvality.tsv	20
Kvalita:17:Kodex cti	Kvalita	17	Kodex cti	Negative		Přísný osobní kodex.																															GM	docs/qualities/batchQ1_kvality.tsv	21
Kvalita:18:Závislost (Pervitin)	Kvalita	18	Závislost (Pervitin)	Negative		Závislost na stimulantu.																															GM	docs/qualities/batchQ1_kvality.tsv	22
Kvalita:19:Pronásledovaný	Kvalita	19	Pronásledovaný	Negative		Někdo ho hledá.																															GM	docs/qualities/batchQ1_kvality.tsv	23
Kvalita:20:Špatná pověst	Kvalita	20	Špatná pověst	Negative		Špatná pověst.																													notoriety	notoriety: 2	-	docs/qualities/batchQ1_kvality.tsv	24
Kvalita:21:Alergie	Kvalita	21	Alergie	Negative		Alergie na látku.																															GM	docs/qualities/batchQ1_kvality.tsv	25
Kvalita:22:Fobie	Kvalita	22	Fobie	Negative		Fobie.																															GM	docs/qualities/batchQ1_kvality.tsv	26
Kvalita:23:Nevzdělaný	Kvalita	23	Nevzdělaný	Negative		Bez formálního vzdělání.																															GM	docs/qualities/batchQ1_kvality.tsv	27
Kvalita:24:Hledaný	Kvalita	24	Hledaný	Negative		Hledaný policií.																															GM	docs/qualities/batchQ1_kvality.tsv	28
Kvalita:25:Válečná rána	Kvalita	25	Válečná rána	Negative		Staré zranění omezuje pohyblivost.																													specificattribute	specificattribute: AGI: -1	-	docs/qualities/batchQ1_kvality.tsv	29
Kvalita:26:Pacifista	Kvalita	26	Pacifista	Negative		Odmítá zabíjet.																															GM	docs/qualities/batchQ1_kvality.tsv	30
Kvalita:27:Slabá vůle	Kvalita	27	Slabá vůle	Negative		Snadno manipulovatelný.																													judgeintentionsdefense	judgeintentionsdefense: -2	-	docs/qualities/batchQ1_kvality.tsv	31
Kvalita:28:Nacionalistický fanatik	Kvalita	28	Nacionalistický fanatik	Negative		Slepý nacionalismus.																													skillcategory	skillcategory: Social Active: -2: s jinými národy	-	docs/qualities/batchQ1_kvality.tsv	32
Kvalita:29:Elektrofobie	Kvalita	29	Elektrofobie	Negative		Fobie z elektřiny.																															Setting; GM	docs/qualities/batchQ1_kvality.tsv	33
Kvalita:1:Veterán Velké války	Kvalita	1	Veterán Velké války	Positive		Prošel zákopy 1. světové války.																													initiative	initiative: 1 | skillcategory: Combat Active: 2: v boji	-	docs/qualities/batchQ1_kvality.tsv	2
Kvalita:10:Stříbrný jazyk	Kvalita	10	Stříbrný jazyk	Positive		Přesvědčovací talent.																													specificskill	specificskill: Negotiation: 2	-	docs/qualities/batchQ1_kvality.tsv	14
Kvalita:11:Hrdost na metatyp	Kvalita	11	Hrdost na metatyp	Positive		Hrdost na svůj metatyp.																													skillcategory	skillcategory: Social Active: 2: s vlastním metatypem	-	docs/qualities/batchQ1_kvality.tsv	15
Kvalita:12:Polní medik	Kvalita	12	Polní medik	Positive		Vycvičený v polní medicíně.																													specificskill	specificskill: First Aid: 2	-	docs/qualities/batchQ1_kvality.tsv	16
Kvalita:13:Odolnost proti elektřině	Kvalita	13	Odolnost proti elektřině	Positive		Odolný vůči elektrickým výbojům.																													damageresistance	damageresistance: 1: vs elektřina	Setting	docs/qualities/batchQ1_kvality.tsv	17
Kvalita:14:Okultní citlivost	Kvalita	14	Okultní citlivost	Positive		Tuší magické jevy v okolí.																															Setting; bez přímého bonusu (GM)	docs/qualities/batchQ1_kvality.tsv	18
Kvalita:2:Ocelová vůle	Kvalita	2	Ocelová vůle	Positive		Mimořádná odolnost vůči manipulaci a magii.																													spellresistance	spellresistance: 2 | judgeintentionsdefense: 2	-	docs/qualities/batchQ1_kvality.tsv	4
Kvalita:3:Zákopový bojovník	Kvalita	3	Zákopový bojovník	Positive		Mistr boje v krytu a zákopech.																													skillcategory	skillcategory: Combat Active: 2: v krytu	-	docs/qualities/batchQ1_kvality.tsv	6
Kvalita:4:Technický talent	Kvalita	4	Technický talent	Positive		Vrozený talent pro stroje a techniku.																													skillcategory	skillcategory: Technical Active: 2	-	docs/qualities/batchQ1_kvality.tsv	7
Kvalita:5:Jazykový talent	Kvalita	5	Jazykový talent	Positive		Snadno se učí jazyky.																													skillcategory	skillcategory: Language: 1	-	docs/qualities/batchQ1_kvality.tsv	8
Kvalita:6:Přirozený vůdce	Kvalita	6	Přirozený vůdce	Positive		Rodilý velitel.																													specificskill	specificskill: Leadership: 2	-	docs/qualities/batchQ1_kvality.tsv	9
Kvalita:7:Bystré oči	Kvalita	7	Bystré oči	Positive		Mimořádně bystrý zrak.																													specificskill	specificskill: Perception: 2	-	docs/qualities/batchQ1_kvality.tsv	10
Kvalita:8:Rychlé reflexy	Kvalita	8	Rychlé reflexy	Positive		Bleskurychlé reakce.																													initiative	initiative: 2	-	docs/qualities/batchQ1_kvality.tsv	11
Kvalita:9:Odolný organismus	Kvalita	9	Odolný organismus	Positive		Odolný vůči jedům a nemocem.																													toxincontactresist	toxincontactresist: 2 | pathogencontactresist: 2	-	docs/qualities/batchQ1_kvality.tsv	12
Vozidlo:40:Bf 109	Vozidlo	40	Bf 109	SW1938 – Letadla		Německá stíhačka.	DE	1937	Reálná	Stíhačka									12F	90000				4		5/4	7	3	10	4	3	1	2				Rychlá a obratná; hlavní stíhačka.	docs/vehicles/batchV1_vozidla.tsv	41
Vozidlo:41:Spitfire	Vozidlo	41	Spitfire	SW1938 – Letadla		Britská stíhačka.	UK	1938	Reálná	Stíhačka									12F	95000				4		5/4	7	3	10	4	3	1	2				Elegantní a obratná.	docs/vehicles/batchV1_vozidla.tsv	42
Vozidlo:42:Hurricane	Vozidlo	42	Hurricane	SW1938 – Letadla		Britská stíhačka.	UK	1937	Reálná	Stíhačka									11F	80000				4		5/4	6	3	10	4	3	1	2				Robustní; práce pro RAF.	docs/vehicles/batchV1_vozidla.tsv	43
Vozidlo:43:P-40 Warhawk	Vozidlo	43	P-40 Warhawk	SW1938 – Letadla		Americká stíhačka.	US	1939	Reálná	Stíhačka									12F	85000				4		5/4	6	3	10	4	3	1	2				Odolná; široce používaná.	docs/vehicles/batchV1_vozidla.tsv	44
Vozidlo:44:A6M Zero	Vozidlo	44	A6M Zero	SW1938 – Letadla		Japonská extrémně obratná stíhačka.	JP	1940	Prototyp	Stíhačka									13F	90000				2		6/5	6	3	9	2	3	1	2				Nejvratnější, ale křehká.	docs/vehicles/batchV1_vozidla.tsv	45
Vozidlo:45:He 111	Vozidlo	45	He 111	SW1938 – Letadla		Německý střední bombardér.	DE	1936	Reálná	Bombardér									14F	200000				6		3/2	5	2	18	6	3	5	2				Střední bombardér.	docs/vehicles/batchV1_vozidla.tsv	46
